School,Conference,ProjectedPoints,NumberOfProspects
Oregon,Big Ten,203,20
Ohio State,Big Ten,198,28
Alabama,SEC,192,29
Clemson,ACC,170,23
Penn State,Big Ten,145,28
LSU,SEC,130,25
Texas A&M,SEC,115,26
Georgia,SEC,113,25
Texas,SEC,110,21
USC,Big Ten,105,15
Auburn,SEC,105,13
Tennessee,SEC,104,11
Miami (FL),ACC,98,15
Oklahoma,SEC,89,20
Indiana,Big Ten,86,14
Notre Dame,FBS - Independent,85,19
Utah,Big 12,85,10
Arizona State,Big 12,83,15
Florida,SEC,82,19
Michigan,Big Ten,81,16
Texas Tech,Big 12,71,10
South Carolina,SEC,68,15
Missouri,SEC,52,14
Washington,Big Ten,47,6
Iowa,Big Ten,43,9
Louisville,ACC,38,10
Illinois,Big Ten,37,14
Duke,ACC,35,6
Baylor,Big 12,34,12
Florida State,ACC,33,15
Ole Miss,SEC,33,13
Wake Forest,ACC,33,6
SMU,ACC,31,14
Iowa State,Big 12,29,6
Colorado,Big 12,27,14
Cincinnati,Big 12,26,7
Virginia Tech,ACC,25,13
Kansas,Big 12,25,11
Northwestern,Big Ten,23,5
Minnesota,Big Ten,20,9
NC State,ACC,20,6
Wisconsin,Big Ten,19,10
Pitt,ACC,19,10
Vanderbilt,SEC,18,11
Arkansas,SEC,18,9
Arizona,Big 12,17,8
TCU,Big 12,16,11
UCLA,Big Ten,15,11
Virginia,ACC,15,10
BYU,Big 12,15,10
North Carolina,ACC,14,10
Michigan State,Big Ten,14,4
Boston College,ACC,13,6
Rutgers,Big Ten,12,6
Toledo,FBS - MAC,12,3
North Dakota State,FCS,12,3
Kentucky,SEC,11,11
California,ACC,11,5
Wyoming,FBS - Mountain West,11,3
Houston,Big 12,10,6
Georgia Tech,ACC,10,5
Youngstown State,FCS,10,2
Boise State,FBS - Mountain West,9,5
Kansas State,Big 12,9,5
Mississippi State,SEC,8,8
Nebraska,Big Ten,8,6
UTSA,FBS - AAC,8,3
UCF,Big 12,7,7
West Virginia,Big 12,6,6
Oklahoma State,Big 12,6,6
Stanford,ACC,6,5
Massachusetts,FBS - MAC,6,2
Western Kentucky,FBS - CUSA,6,1
Syracuse,ACC,5,5
UNLV,FBS - Mountain West,5,5
Texas State,FBS - Sun Belt,5,4
South Dakota State,FCS,5,1
Oregon State,Pac 12,4,4
Miami (OH),FBS - MAC,4,4
Tulane,FBS - AAC,4,4
Troy,FBS - Sun Belt,4,4
Maryland,Big Ten,4,3
UConn,FBS - AAC,3,3
Southern Miss,FBS - CUSA,3,3
East Carolina,FBS - AAC,3,3
Bowling Green,FBS - MAC,3,3
Louisiana-Lafayette,FBS - Sun Belt,3,3
James Madison,FBS - Sun Belt,3,3
Memphis,FBS - AAC,3,3
Western Michigan,FBS - MAC,3,3
Sam Houston State,FBS - CUSA,3,2
San Diego State,FBS - Mountain West,2,2
Sacramento State,FCS,2,2
Georgia State,FBS - Sun Belt,2,2
Marshall,FBS - CUSA,2,2
Charlotte,FBS - AAC,2,2
New Mexico,FBS - Mountain West,2,2
Arkansas State,FBS - Sun Belt,2,2
Jacksonville State,FBS - CUSA,2,2
Appalachian State,FBS - Sun Belt,2,2
Tulsa,FBS - AAC,2,2
Harvard,FCS,2,1
Incarnate Word,FCS,2,1
Northern Illinois,FBS - MAC,2,1
Abilene Christian,FCS,1,1
Rice,FBS - AAC,1,1
UTEP,FBS - CUSA,1,1
Virginia State,D2,1,1
West Alabama,D2,1,1
Delaware State,FCS,1,1
UC Davis,FCS,1,1
Central Michigan,FBS - MAC,1,1
Buffalo,FBS - MAC,1,1
Western Illinois,FCS,1,1
McNeese State,FCS,1,1
Akron,FBS - MAC,1,1
UAB,FBS - AAC,1,1
Coastal Carolina,FCS,1,1
Georgia Southern,FBS - Sun Belt,1,1
Nicholls State,FCS,1,1
South Florida,FBS - AAC,1,1
Stephen F. Austin,FCS,1,1
San Jose State,FBS - Mountain West,1,1
Fresno State,FBS - Mountain West,1,1
Tarleton State,D2,1,1
New Mexico State,FBS - CUSA,1,1
UT Martin,FCS,1,1
William & Mary,FCS,1,1
Florida Atlantic,FBS - AAC,1,1
North Dakota,FCS,1,1
Cal Poly,FCS,1,1
Old Dominion,FBS - CUSA,1,1
Purdue,Big Ten,1,1
Air Force,FBS - Mountain West,1,1
East Tennessee State,FCS,1,1
