School,Conference,ProjectedPoints,NumberOfProspects
Penn State,Big Ten,183,28
Oregon,Big Ten,180,21
Ohio State,Big Ten,176,28
Clemson,ACC,175,23
Alabama,SEC,158,29
LSU,SEC,146,25
Georgia,SEC,130,25
Texas A&M,SEC,114,26
Texas,SEC,114,21
Miami (FL),ACC,102,15
Auburn,SEC,99,13
Tennessee,SEC,98,11
USC,Big Ten,90,14
Arizona State,Big 12,89,15
Oklahoma,SEC,87,20
Utah,Big 12,86,10
Florida,SEC,84,18
South Carolina,SEC,84,16
Notre Dame,FBS - Independent,81,19
Indiana,Big Ten,78,14
Ole Miss,SEC,63,13
Washington,Big Ten,58,7
Michigan,Big Ten,56,16
Texas Tech,Big 12,55,10
Iowa,Big Ten,52,9
Illinois,Big Ten,41,14
Florida State,ACC,39,15
Missouri,SEC,38,14
Colorado,Big 12,37,14
Louisville,ACC,37,10
Wake Forest,ACC,34,6
Baylor,Big 12,32,12
Arkansas,SEC,29,9
TCU,Big 12,28,11
Duke,ACC,27,6
Iowa State,Big 12,25,6
BYU,Big 12,24,10
Cincinnati,Big 12,24,7
Kansas,Big 12,23,11
Pitt,ACC,23,10
Vanderbilt,SEC,21,11
Sam Houston State,FBS - CUSA,21,2
SMU,ACC,20,14
Minnesota,Big Ten,19,9
Northwestern,Big Ten,19,5
Virginia Tech,ACC,18,13
Arizona,Big 12,18,8
Michigan State,Big Ten,18,5
UCLA,Big Ten,16,11
Boston College,ACC,16,6
Virginia,ACC,15,10
Nebraska,Big Ten,15,6
Wisconsin,Big Ten,14,10
Georgia Tech,ACC,12,5
North Dakota State,FCS,12,3
Kentucky,SEC,11,11
North Carolina,ACC,11,10
Rutgers,Big Ten,11,5
Toledo,FBS - MAC,11,3
Houston,Big 12,10,6
California,ACC,10,5
Kansas State,Big 12,10,5
Boise State,FBS - Mountain West,9,5
UTSA,FBS - AAC,9,3
Mississippi State,SEC,8,8
Wyoming,FBS - Mountain West,8,3
UCF,Big 12,7,7
NC State,ACC,7,6
Maryland,Big Ten,7,3
William & Mary,FCS,7,1
West Virginia,Big 12,6,6
Oklahoma State,Big 12,6,6
Syracuse,ACC,5,5
Stanford,ACC,5,5
UNLV,FBS - Mountain West,5,5
Northern Illinois,FBS - MAC,5,1
Texas State,FBS - Sun Belt,4,4
Oregon State,Pac 12,4,4
Southern Miss,FBS - CUSA,4,4
Troy,FBS - Sun Belt,4,4
Miami (OH),FBS - MAC,4,4
Tulane,FBS - AAC,4,4
UConn,FBS - AAC,3,3
Sacramento State,FCS,3,3
Bowling Green,FBS - MAC,3,3
Louisiana-Lafayette,FBS - Sun Belt,3,3
East Carolina,FBS - AAC,3,3
James Madison,FBS - Sun Belt,3,3
Memphis,FBS - AAC,3,3
Western Michigan,FBS - MAC,3,3
Youngstown State,FCS,3,2
San Diego State,FBS - Mountain West,2,2
Massachusetts,FBS - MAC,2,2
Marshall,FBS - CUSA,2,2
Charlotte,FBS - AAC,2,2
New Mexico,FBS - Mountain West,2,2
Arkansas State,FBS - Sun Belt,2,2
Jacksonville State,FBS - CUSA,2,2
Appalachian State,FBS - Sun Belt,2,2
Tulsa,FBS - AAC,2,2
Incarnate Word,FCS,2,1
Abilene Christian,FCS,1,1
Western Kentucky,FBS - CUSA,1,1
UTEP,FBS - CUSA,1,1
Virginia State,D2,1,1
South Dakota State,FCS,1,1
West Alabama,D2,1,1
Central Michigan,FBS - MAC,1,1
UC Davis,FCS,1,1
North Dakota,FCS,1,1
Rice,FBS - AAC,1,1
Buffalo,FBS - MAC,1,1
Western Illinois,FCS,1,1
McNeese State,FCS,1,1
Georgia State,FBS - Sun Belt,1,1
Akron,FBS - MAC,1,1
UAB,FBS - AAC,1,1
Coastal Carolina,FCS,1,1
Georgia Southern,FBS - Sun Belt,1,1
Nicholls State,FCS,1,1
South Alabama,FBS - Sun Belt,1,1
South Florida,FBS - AAC,1,1
Stephen F. Austin,FCS,1,1
San Jose State,FBS - Mountain West,1,1
Fresno State,FBS - Mountain West,1,1
Tarleton State,D2,1,1
Harvard,FCS,1,1
New Mexico State,FBS - CUSA,1,1
UT Martin,FCS,1,1
Florida Atlantic,FBS - AAC,1,1
Cal Poly,FCS,1,1
Old Dominion,FBS - CUSA,1,1
Purdue,Big Ten,1,1
Air Force,FBS - Mountain West,1,1
East Tennessee State,FCS,1,1
