School,Conference,ProjectedPoints,NumberOfProspects
Ohio State,Big Ten,195,16
Miami (FL),ACC,158,14
Clemson,ACC,150,17
Indiana,Big Ten,146,15
Texas A&M,SEC,142,24
Alabama,SEC,141,15
Texas Tech,Big 12,118,12
Georgia,SEC,117,14
Tennessee,SEC,104,13
Notre Dame,FBS - Independent,104,12
Oregon,Big Ten,102,12
Penn State,Big Ten,95,15
Arizona State,Big 12,89,13
Utah,Big 12,86,8
LSU,SEC,84,16
USC,Big Ten,76,9
Florida,SEC,71,11
Missouri,SEC,66,9
Auburn,SEC,64,10
Texas,SEC,63,14
Iowa,Big Ten,62,12
Oklahoma,SEC,60,12
Washington,Big Ten,58,5
South Carolina,SEC,47,11
Cincinnati,Big 12,46,7
Michigan,Big Ten,44,11
Arkansas,SEC,41,7
Kentucky,SEC,35,12
Illinois,Big Ten,33,12
Toledo,FBS - MAC,33,4
Baylor,Big 12,29,9
Duke,ACC,29,6
TCU,Big 12,27,10
Louisville,ACC,26,5
Vanderbilt,SEC,25,11
Ole Miss,SEC,25,10
Florida State,ACC,23,9
Northwestern,Big Ten,23,8
Arizona,Big 12,23,5
Georgia Tech,ACC,21,6
San Diego State,FBS - Mountain West,21,2
SMU,ACC,20,14
Boston College,ACC,20,5
Nebraska,Big Ten,19,8
NC State,ACC,19,7
Kansas State,Big 12,16,3
BYU,Big 12,15,6
UCF,Big 12,15,5
North Dakota State,FCS,15,3
Kansas,Big 12,14,8
Wisconsin,Big Ten,13,8
Mississippi State,SEC,13,6
Pitt,ACC,13,4
Iowa State,Big 12,13,3
Boise State,FBS - Mountain West,12,5
Wake Forest,ACC,12,4
North Carolina,ACC,11,6
Georgia State,FBS - Sun Belt,11,2
UConn,FBS - AAC,11,2
Stanford,ACC,10,4
Michigan State,Big Ten,10,4
Navy,FBS - AAC,10,2
Colorado,Big 12,9,9
Virginia,ACC,9,5
California,ACC,9,4
Western Michigan,FBS - MAC,9,4
Houston,Big 12,9,3
UCLA,Big Ten,8,8
Maryland,Big Ten,8,4
Minnesota,Big Ten,8,4
Virginia Tech,ACC,7,7
Syracuse,ACC,7,6
UTSA,FBS - AAC,7,3
Wyoming,FBS - Mountain West,6,2
Stephen F. Austin,FCS,6,2
Memphis,FBS - AAC,5,5
Miami (OH),FBS - MAC,5,5
Southeastern Louisiana,FCS,5,1
John Carroll,D3,5,1
Oregon State,Pac 12,4,4
Rutgers,Big Ten,4,4
Tulane,FBS - AAC,4,4
Texas State,FBS - Sun Belt,3,3
Louisiana-Lafayette,FBS - Sun Belt,3,3
UNLV,FBS - Mountain West,3,3
West Virginia,Big 12,3,3
Troy,FBS - Sun Belt,3,3
South Alabama,FBS - Sun Belt,3,2
New Mexico,FBS - Mountain West,3,2
Central Michigan,FBS - MAC,2,2
Incarnate Word,FCS,2,2
Southern Miss,FBS - CUSA,2,2
James Madison,FBS - Sun Belt,2,2
Tulsa,FBS - AAC,2,2
Jacksonville State,FBS - CUSA,2,2
Florida Atlantic,FBS - AAC,2,2
Oklahoma State,Big 12,2,2
Youngstown State,FCS,2,2
Massachusetts,FBS - MAC,2,2
Bowling Green,FBS - MAC,2,2
Louisiana Tech,FBS - CUSA,2,1
Florida International,FBS - CUSA,2,1
South Carolina State,FCS,1,1
Slippery Rock,D2,1,1
Montana,FCS,1,1
Dartmouth,FCS,1,1
Buffalo,FBS - MAC,1,1
Virginia Union,D2,1,1
West Alabama,D2,1,1
Western Illinois,FCS,1,1
Charlotte,FBS - AAC,1,1
Hawaii,FBS - Mountain West,1,1
UAB,FBS - AAC,1,1
Akron,FBS - MAC,1,1
McNeese State,FCS,1,1
Delaware State,FCS,1,1
Georgia Southern,FBS - Sun Belt,1,1
Sacramento State,FCS,1,1
Nicholls State,FCS,1,1
San Jose State,FBS - Mountain West,1,1
Coastal Carolina,FCS,1,1
South Dakota State,FCS,1,1
North Dakota,FCS,1,1
Fresno State,FBS - Mountain West,1,1
Cal Poly,FCS,1,1
New Mexico State,FBS - CUSA,1,1
UT Martin,FCS,1,1
Arkansas State,FBS - Sun Belt,1,1
Northern Illinois,FBS - MAC,1,1
Sam Houston State,FBS - CUSA,1,1
Appalachian State,FBS - Sun Belt,1,1
Old Dominion,FBS - CUSA,1,1
Virginia State,D2,1,1
Florida A&M,FCS,1,1
Purdue,Big Ten,1,1
Air Force,FBS - Mountain West,1,1
UC Davis,FCS,1,1
Abilene Christian,FCS,1,1
North Texas,FBS - AAC,1,1
East Tennessee State,FCS,1,1
