School,Conference,ProjectedPoints,NumberOfProspects
Ohio State,Big Ten,257,29
Oregon,Big Ten,208,21
Alabama,SEC,173,30
Clemson,ACC,157,23
Texas A&M,SEC,131,27
Indiana,Big Ten,128,17
LSU,SEC,122,22
Miami (FL),ACC,114,17
Georgia,SEC,107,25
Tennessee,SEC,105,13
Texas Tech,Big 12,104,13
Penn State,Big Ten,102,26
Notre Dame,FBS - Independent,96,20
Texas,SEC,92,18
Arizona State,Big 12,85,14
Utah,Big 12,83,10
USC,Big Ten,79,14
Florida,SEC,71,16
Missouri,SEC,71,15
Auburn,SEC,63,13
Michigan,Big Ten,60,18
Oklahoma,SEC,60,17
Iowa,Big Ten,57,11
Washington,Big Ten,52,7
South Carolina,SEC,49,14
Louisville,ACC,43,10
Arkansas,SEC,39,11
Illinois,Big Ten,35,15
Cincinnati,Big 12,33,7
Rutgers,Big Ten,32,7
Ole Miss,SEC,30,15
Florida State,ACC,29,12
Baylor,Big 12,27,12
Duke,ACC,26,6
Virginia Tech,ACC,24,13
Mississippi State,SEC,24,9
TCU,Big 12,23,11
Virginia,ACC,22,13
Vanderbilt,SEC,22,12
San Diego State,FBS - Mountain West,22,3
SMU,ACC,21,14
Arizona,Big 12,21,8
Toledo,FBS - MAC,21,2
Minnesota,Big Ten,19,8
NC State,ACC,19,7
Northwestern,Big Ten,19,6
Wake Forest,ACC,19,5
Stanford,ACC,18,7
California,ACC,18,7
Boston College,ACC,18,7
Nebraska,Big Ten,17,8
Colorado,Big 12,16,11
Wisconsin,Big Ten,16,7
Georgia Tech,ACC,16,5
BYU,Big 12,13,11
UCLA,Big Ten,12,12
Pitt,ACC,12,10
UCF,Big 12,12,6
Kansas State,Big 12,12,4
Iowa State,Big 12,12,3
Kansas,Big 12,11,11
Kentucky,SEC,11,11
North Carolina,ACC,11,9
Boise State,FBS - Mountain West,11,6
Michigan State,Big Ten,11,4
UConn,FBS - AAC,11,2
Houston,Big 12,10,6
Youngstown State,FCS,10,2
North Dakota State,FCS,9,3
James Madison,FBS - Sun Belt,7,3
Georgia State,FBS - Sun Belt,7,3
Stephen F. Austin,FCS,6,2
Marshall,FBS - CUSA,6,2
Syracuse,ACC,5,5
West Virginia,Big 12,5,5
UNLV,FBS - Mountain West,5,5
Memphis,FBS - AAC,5,4
Maryland,Big Ten,4,4
Texas State,FBS - Sun Belt,4,4
Oregon State,Pac 12,4,4
Miami (OH),FBS - MAC,4,4
Oklahoma State,Big 12,4,4
Tulane,FBS - AAC,4,4
Troy,FBS - Sun Belt,4,4
Wyoming,FBS - Mountain West,4,3
Southern Miss,FBS - CUSA,3,3
Louisiana-Lafayette,FBS - Sun Belt,3,3
Western Michigan,FBS - MAC,3,3
UTSA,FBS - AAC,3,3
Buffalo,FBS - MAC,3,2
Rice,FBS - AAC,2,2
Massachusetts,FBS - MAC,2,2
Sacramento State,FCS,2,2
Charlotte,FBS - AAC,2,2
New Mexico,FBS - Mountain West,2,2
Florida Atlantic,FBS - AAC,2,2
Coastal Carolina,FCS,2,2
Sam Houston State,FBS - CUSA,2,2
Jacksonville State,FBS - CUSA,2,2
Tulsa,FBS - AAC,2,2
Bowling Green,FBS - MAC,2,2
Navy,FBS - AAC,2,1
Incarnate Word,FCS,1,1
South Dakota State,FCS,1,1
Abilene Christian,FCS,1,1
North Dakota,FCS,1,1
UTEP,FBS - CUSA,1,1
Virginia State,D2,1,1
West Alabama,D2,1,1
Delaware State,FCS,1,1
UC Davis,FCS,1,1
Central Michigan,FBS - MAC,1,1
Florida A&M,FCS,1,1
East Carolina,FBS - AAC,1,1
Western Illinois,FCS,1,1
McNeese State,FCS,1,1
Northern Illinois,FBS - MAC,1,1
Akron,FBS - MAC,1,1
UAB,FBS - AAC,1,1
Georgia Southern,FBS - Sun Belt,1,1
Nicholls State,FCS,1,1
San Jose State,FBS - Mountain West,1,1
Fresno State,FBS - Mountain West,1,1
Tarleton State,D2,1,1
New Mexico State,FBS - CUSA,1,1
North Texas,FBS - AAC,1,1
UT Martin,FCS,1,1
Cal Poly,FCS,1,1
Arkansas State,FBS - Sun Belt,1,1
Old Dominion,FBS - CUSA,1,1
Appalachian State,FBS - Sun Belt,1,1
Purdue,Big Ten,1,1
Western Kentucky,FBS - CUSA,1,1
Air Force,FBS - Mountain West,1,1
East Tennessee State,FCS,1,1
