School,Conference,ProjectedPoints,NumberOfProspects
Ohio State,Big Ten,230,29
Oregon,Big Ten,197,20
Alabama,SEC,196,30
Clemson,ACC,158,24
Texas A&M,SEC,126,28
Penn State,Big Ten,123,28
LSU,SEC,120,25
Tennessee,SEC,110,13
USC,Big Ten,108,16
Texas,SEC,106,22
Georgia,SEC,100,25
Miami (FL),ACC,96,15
Indiana,Big Ten,92,15
Notre Dame,FBS - Independent,88,19
Utah,Big 12,85,10
South Carolina,SEC,83,16
Arizona State,Big 12,83,15
Auburn,SEC,82,13
Texas Tech,Big 12,78,12
Oklahoma,SEC,69,20
Florida,SEC,68,19
Missouri,SEC,65,15
Michigan,Big Ten,62,18
Washington,Big Ten,57,6
Iowa,Big Ten,51,10
Arkansas,SEC,43,11
Louisville,ACC,42,10
Cincinnati,Big 12,42,7
Illinois,Big Ten,41,15
Duke,ACC,38,7
Ole Miss,SEC,36,15
SMU,ACC,31,14
Baylor,Big 12,30,12
Iowa State,Big 12,30,6
Northwestern,Big Ten,30,5
Florida State,ACC,26,15
Virginia Tech,ACC,26,13
Wake Forest,ACC,25,6
Troy,FBS - Sun Belt,23,4
Colorado,Big 12,22,14
Boston College,ACC,22,8
Toledo,FBS - MAC,22,3
TCU,Big 12,20,12
Virginia,ACC,20,12
Vanderbilt,SEC,19,12
Kansas,Big 12,19,11
Minnesota,Big Ten,19,9
Arizona,Big 12,19,8
San Diego State,FBS - Mountain West,17,3
BYU,Big 12,16,11
Pitt,ACC,14,10
Mississippi State,SEC,14,9
Georgia Tech,ACC,14,5
Michigan State,Big Ten,14,5
Rutgers,Big Ten,13,7
Nebraska,Big Ten,13,7
UCLA,Big Ten,12,11
Kentucky,SEC,11,11
NC State,ACC,11,6
North Carolina,ACC,10,10
Wisconsin,Big Ten,10,10
Houston,Big 12,10,6
Boise State,FBS - Mountain West,10,5
Kansas State,Big 12,9,5
California,ACC,9,5
UConn,FBS - AAC,9,3
North Dakota State,FCS,8,3
Wyoming,FBS - Mountain West,8,3
UCF,Big 12,7,7
Stanford,ACC,7,6
West Virginia,Big 12,6,6
Oklahoma State,Big 12,6,6
Buffalo,FBS - MAC,6,2
North Dakota,FCS,6,1
Tulane,FBS - AAC,5,5
Syracuse,ACC,5,5
UNLV,FBS - Mountain West,5,5
Texas State,FBS - Sun Belt,4,4
Oregon State,Pac 12,4,4
Miami (OH),FBS - MAC,4,4
UTSA,FBS - AAC,4,3
Maryland,Big Ten,3,3
Southern Miss,FBS - CUSA,3,3
Bowling Green,FBS - MAC,3,3
Louisiana-Lafayette,FBS - Sun Belt,3,3
James Madison,FBS - Sun Belt,3,3
East Carolina,FBS - AAC,3,3
Memphis,FBS - AAC,3,3
Western Michigan,FBS - MAC,3,3
Youngstown State,FCS,3,2
Massachusetts,FBS - MAC,2,2
Marshall,FBS - CUSA,2,2
Sacramento State,FCS,2,2
Georgia State,FBS - Sun Belt,2,2
Charlotte,FBS - AAC,2,2
New Mexico,FBS - Mountain West,2,2
Arkansas State,FBS - Sun Belt,2,2
Jacksonville State,FBS - CUSA,2,2
Appalachian State,FBS - Sun Belt,2,2
Stephen F. Austin,FCS,2,2
Tulsa,FBS - AAC,2,2
Sam Houston State,FBS - CUSA,2,2
South Dakota State,FCS,1,1
Rice,FBS - AAC,1,1
Abilene Christian,FCS,1,1
UTEP,FBS - CUSA,1,1
Virginia State,D2,1,1
West Alabama,D2,1,1
Central Michigan,FBS - MAC,1,1
Delaware State,FCS,1,1
William & Mary,FCS,1,1
UC Davis,FCS,1,1
Western Illinois,FCS,1,1
McNeese State,FCS,1,1
Northern Illinois,FBS - MAC,1,1
Akron,FBS - MAC,1,1
UAB,FBS - AAC,1,1
Coastal Carolina,FCS,1,1
Georgia Southern,FBS - Sun Belt,1,1
Nicholls State,FCS,1,1
South Florida,FBS - AAC,1,1
San Jose State,FBS - Mountain West,1,1
Fresno State,FBS - Mountain West,1,1
Tarleton State,D2,1,1
Harvard,FCS,1,1
New Mexico State,FBS - CUSA,1,1
UT Martin,FCS,1,1
Florida Atlantic,FBS - AAC,1,1
Incarnate Word,FCS,1,1
Cal Poly,FCS,1,1
Old Dominion,FBS - CUSA,1,1
Purdue,Big Ten,1,1
Western Kentucky,FBS - CUSA,1,1
Air Force,FBS - Mountain West,1,1
East Tennessee State,FCS,1,1
